Name,Original_Price,Discounted_Price,Company,Display_Type,Display_Size,Ram,Rom
Samsung Galaxy F07,9999.0,6799.0,Samsung,HD+ Display,6.7,4.0,64.0
realme P4x 5G,17999.0,15999.0,realme,Full HD+ Display,6.72,6.0,128.0
Samsung Galaxy F06 5G,16999.0,9999.0,Samsung,HD+ Display,6.7,6.0,128.0
MOTOROLA Edge 70,15999.0,29999.0,MOTOROLA,Display,6.7,8.0,256.0
Samsung Galaxy F06 5G,12999.0,8999.0,Samsung,HD+ Display,6.7,4.0,128.0
OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI,25999.0,12499.0,OPPO,HD+ Display,6.67,4.0,128.0
Samsung Galaxy S24 5G Snapdragon,13999.0,40999.0,Samsung,Full HD+ Display,6.2,8.0,128.0
Motorola Edge 50 Fusion,33999.0,17999.0,Motorola,Full HD+ Display,6.7,8.0,128.0
POCO M7 5G,13999.0,9599.0,POCO,HD+ Display,6.88,6.0,128.0
MOTOROLA Edge 70,7999.0,29999.0,MOTOROLA,Display,6.7,8.0,256.0
MOTOROLA Edge 60 Fusion 5G,16999.0,22999.0,MOTOROLA,Display,6.67,8.0,256.0
Samsung Galaxy F06 5G,15999.0,8499.0,Samsung,HD+ Display,6.7,4.0,64.0
Samsung Galaxy A35 5G,12999.0,18499.0,Samsung,Full HD+ Display,6.6,8.0,128.0
vivo T4 Lite 5G Charger in the Box,25999.0,11999.0,vivo,HD+ Display,6.74,4.0,128.0
Ai+ Pulse,24147.017316017314,5999.0,Ai+,HD+ Display,6.745,4.0,64.0
Samsung Galaxy F06 5G,24147.017316017314,9999.0,Samsung,HD+ Display,6.7,6.0,128.0
Samsung Galaxy F16 5G,24147.017316017314,12499.0,Samsung,Full HD+ Display,6.657,4.0,128.0
POCO M7 5G,24147.017316017314,9599.0,POCO,HD+ Display,6.88,6.0,128.0
MOTOROLA Edge 60 Fusion 5G,24147.017316017314,22999.0,MOTOROLA,Display,6.67,8.0,256.0
Samsung Galaxy F07,9999.0,6799.0,Samsung,HD+ Display,6.7,4.0,64.0
POCO M7 5G,13999.0,10599.0,POCO,HD+ Display,6.88,8.0,128.0
MOTOROLA Edge 70,34999.0,29999.0,MOTOROLA,Display,6.7,8.0,256.0
Samsung Galaxy F06 5G,16999.0,9999.0,Samsung,HD+ Display,6.7,6.0,128.0
vivo T4x 5G,17999.0,15499.0,vivo,Display,6.72,6.0,128.0
vivo T4R 5G,23499.0,20999.0,vivo,Display,6.77,8.0,128.0
Samsung Galaxy F06 5G,15499.0,8999.0,Samsung,HD+ Display,6.7,4.0,128.0
realme P4x 5G,17999.0,15999.0,realme,Full HD+ Display,6.72,6.0,128.0
Motorola G85 5G,20999.0,16999.0,Motorola,Full HD+ Display,6.67,8.0,128.0
POCO M7 Pro 5G,18999.0,12999.0,POCO,Full HD+ Display,6.67,6.0,128.0
OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI,15999.0,12499.0,OPPO,HD+ Display,6.67,4.0,128.0
MOTOROLA g35 5G,12499.0,9999.0,MOTOROLA,Full HD+ Display,6.72,4.0,128.0
Samsung Galaxy S24 5G Snapdragon,74999.0,40999.0,Samsung,Full HD+ Display,6.2,8.0,128.0
MOTOROLA Edge 70,34999.0,29999.0,MOTOROLA,Display,6.7,8.0,256.0
POCO M7 5G,13999.0,10599.0,POCO,HD+ Display,6.88,8.0,128.0
Samsung Galaxy F06 5G,33999.0,8499.0,Samsung,HD+ Display,6.7,4.0,64.0
Samsung Galaxy A35 5G,14999.0,18499.0,Samsung,Full HD+ Display,6.6,8.0,128.0
vivo T4 Lite 5G Charger in the Box,12499.0,12999.0,vivo,HD+ Display,6.74,6.0,128.0
MOTOROLA g35 5G,59999.0,9999.0,MOTOROLA,Full HD+ Display,6.72,4.0,128.0
Samsung Galaxy S24 FE 5G,9999.0,34999.0,Samsung,Full HD+ Display,6.7,8.0,128.0
MOTOROLA g05,16999.0,7299.0,MOTOROLA,HD+ Display,6.67,4.0,64.0
