,Name,Display,Memory,Camera,Original_Price,Discounted_Price,Off_Upto
0,"Samsung Galaxy F07 (Green, 64 GB)",17.02 cm (6.7 inch) HD+ Display,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,50MP + 2MP | 8MP Front Camera,"₹9,999","₹6,799",32% off
1,"realme P4x 5G (Matte Silver, 128 GB)",17.07 cm (6.72 inch) Full HD+ Display,6 GB RAM | 128 GB ROM,50MP + 2MP | 8MP Front Camera,"₹17,999","₹15,999",11% off
2,"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)",17.02 cm (6.7 inch) HD+ Display,6 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,50MP + 2MP | 8MP Front Camera,"₹16,999","₹9,999",41% off
3,"Apple iPhone 16 (Pink, 256 GB)",15.49 cm (6.1 inch) Super Retina XDR Display,256 GB ROM,48MP + 12MP | 12MP Front Camera,"₹34,999","₹79,900",
4,"Apple iPhone 16 (Teal, 128 GB)",15.49 cm (6.1 inch) Super Retina XDR Display,128 GB ROM,48MP + 12MP | 12MP Front Camera,"₹15,499","₹69,900",
5,"MOTOROLA Edge 70 (PANTONE Lily Pad, 256 GB)",17.02 cm (6.7 inch) Display,8 GB RAM | 256 GB ROM,50MP + 50MP | 50MP Front Camera,"₹15,999","₹29,999",14% off
6,"Apple iPhone 16 (Pink, 128 GB)",15.49 cm (6.1 inch) Super Retina XDR Display,128 GB ROM,48MP + 12MP | 12MP Front Camera,"₹74,999","₹69,900",
7,"Apple iPhone 16 (Black, 128 GB)",15.49 cm (6.1 inch) Super Retina XDR Display,128 GB ROM,48MP + 12MP | 12MP Front Camera,"₹25,999","₹69,900",
8,"Samsung Galaxy F06 5G (Lit Violet, 128 GB)",17.02 cm (6.7 inch) HD+ Display,4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,50MP + 2MP | 8MP Front Camera,"₹12,999","₹8,999",41% off
9,"Apple iPhone 16 (Ultramarine, 128 GB)",15.49 cm (6.1 inch) Super Retina XDR Display,128 GB ROM,48MP + 12MP | 12MP Front Camera,"₹34,999","₹69,900",
10,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)",16.94 cm (6.67 inch) HD+ Display,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,50MP + 2MP | 8MP Front Camera,"₹25,999","₹12,499",21% off
11,"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 128 GB)",15.75 cm (6.2 inch) Full HD+ Display,8 GB RAM | 128 GB ROM,50MP + 12MP | 12MP Front Camera,"₹13,999","₹40,999",45% off
12,"Motorola Edge 50 Fusion (Forest Green, 128 GB)",17.02 cm (6.7 inch) Full HD+ Display,8 GB RAM | 128 GB ROM,50MP + 13MP | 32MP Front Camera,"₹33,999","₹17,999",30% off
13,"POCO M7 5G (Satin Black, 128 GB)",17.48 cm (6.88 inch) HD+ Display,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP Rear Camera | 8MP Front Camera,"₹13,999","₹9,599",26% off
14,"MOTOROLA Edge 70 (PANTONE Bronze Green, 256 GB)",17.02 cm (6.7 inch) Display,8 GB RAM | 256 GB ROM,50MP + 50MP | 50MP Front Camera,"₹7,999","₹29,999",14% off
15,"MOTOROLA Edge 60 Fusion 5G (PANTONE Amazonite, 256 GB)",16.94 cm (6.67 inch) Display,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,50MP + 13MP | 32MP Front Camera,"₹16,999","₹22,999",11% off
16,"Samsung Galaxy F06 5G (Bahama Blue, 64 GB)",17.02 cm (6.7 inch) HD+ Display,4 GB RAM | 64 GB ROM | Expandable Upto 1500 GB,50MP + 2MP | 8MP Front Camera,"₹15,999","₹8,499",39% off
17,"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)",16.76 cm (6.6 inch) Full HD+ Display,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 8MP + 5MP | 13MP Front Camera,"₹12,999","₹18,499",45% off
18,"vivo T4 Lite 5G Charger in the Box (Titanium Gold, 128 GB)",17.12 cm (6.74 inch) HD+ Display,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,50MP + 2MP | 5MP Front Camera,"₹25,999","₹11,999",14% off
19,"Ai+ Pulse (Black, 64 GB)",17.13 cm (6.745 inch) HD+ Display,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50MP Rear Camera | 5MP Front Camera,,"₹5,999",25% off
20,"Samsung Galaxy F06 5G (Lit Violet, 128 GB)",17.02 cm (6.7 inch) HD+ Display,6 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,50MP + 2MP | 8MP Front Camera,,"₹9,999",41% off
21,"Samsung Galaxy F16 5G (Glam Green, 128 GB)",16.91 cm (6.657 inch) Full HD+ Display,4 GB RAM | 128 GB ROM,50MP + 5MP + 2MP | 13MP Front Camera,,"₹12,499",21% off
22,"POCO M7 5G (Ocean Blue, 128 GB)",17.48 cm (6.88 inch) HD+ Display,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP Rear Camera | 8MP Front Camera,,"₹9,599",26% off
23,"MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 256 GB)",16.94 cm (6.67 inch) Display,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,50MP + 13MP | 32MP Front Camera,,"₹22,999",11% off
24,"Samsung Galaxy F07 (Green, 64 GB)",17.02 cm (6.7 inch) HD+ Display,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,50MP + 2MP | 8MP Front Camera,"₹9,999","₹6,799",32% off
25,"POCO M7 5G (Satin Black, 128 GB)",17.48 cm (6.88 inch) HD+ Display,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP Rear Camera | 8MP Front Camera,"₹13,999","₹10,599",24% off
26,"MOTOROLA Edge 70 (PANTONE Lily Pad, 256 GB)",17.02 cm (6.7 inch) Display,8 GB RAM | 256 GB ROM,50MP + 50MP | 50MP Front Camera,"₹34,999","₹29,999",14% off
27,"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)",17.02 cm (6.7 inch) HD+ Display,6 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,50MP + 2MP | 8MP Front Camera,"₹16,999","₹9,999",41% off
28,"vivo T4x 5G (Marine Blue, 128 GB)",17.07 cm (6.72 inch) Display,6 GB RAM | 128 GB ROM,50MP + 2MP | 8MP Front Camera,"₹17,999","₹15,499",13% off
29,"vivo T4R 5G (Arctic White, 128 GB)",17.2 cm (6.77 inch) Display,8 GB RAM | 128 GB ROM,50MP (OIS) + 2MP | 32MP Front Camera,"₹23,499","₹20,999",10% off
30,"Samsung Galaxy F06 5G (Lit Violet, 128 GB)",17.02 cm (6.7 inch) HD+ Display,4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,50MP + 2MP | 8MP Front Camera,"₹15,499","₹8,999",41% off
31,"realme P4x 5G (Matte Silver, 128 GB)",17.07 cm (6.72 inch) Full HD+ Display,6 GB RAM | 128 GB ROM,50MP + 2MP | 8MP Front Camera,"₹17,999","₹15,999",11% off
32,"Motorola G85 5G (Olive Green, 128 GB)",16.94 cm (6.67 inch) Full HD+ Display,8 GB RAM | 128 GB ROM,50MP + 8MP | 32MP Front Camera,"₹20,999","₹16,999",19% off
33,"POCO M7 Pro 5G (Olive Twilight, 128 GB)",16.94 cm (6.67 inch) Full HD+ Display,6 GB RAM | 128 GB ROM,50MP + 2MP | 20MP Front Camera,"₹18,999","₹12,999",31% off
34,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)",16.94 cm (6.67 inch) HD+ Display,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,50MP + 2MP | 8MP Front Camera,"₹15,999","₹12,499",21% off
35,"MOTOROLA g35 5G (Guava Red, 128 GB)",17.07 cm (6.72 inch) Full HD+ Display,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP + 8MP | 16MP Front Camera,"₹12,499","₹9,999",20% off
